datetime,0x_whale_transaction_count_100k_usd_to_inf,1inch_whale_transaction_count_100k_usd_to_inf,aave_whale_transaction_count_100k_usd_to_inf,alchemix_whale_transaction_count_100k_usd_to_inf,ampleforth_whale_transaction_count_100k_usd_to_inf,api3_whale_transaction_count_100k_usd_to_inf,bancor_whale_transaction_count_100k_usd_to_inf,band-protocol_whale_transaction_count_100k_usd_to_inf,coin98_whale_transaction_count_100k_usd_to_inf,cow-protocol_whale_transaction_count_100k_usd_to_inf,crvusd_whale_transaction_count_100k_usd_to_inf,dia-data_whale_transaction_count_100k_usd_to_inf,dydx_whale_transaction_count_100k_usd_to_inf,frax_whale_transaction_count_100k_usd_to_inf,frax-share_whale_transaction_count_100k_usd_to_inf,injective-protocol_whale_transaction_count_100k_usd_to_inf,lido-dao_whale_transaction_count_100k_usd_to_inf,liquity_whale_transaction_count_100k_usd_to_inf,liquity-usd_whale_transaction_count_100k_usd_to_inf,loopring_whale_transaction_count_100k_usd_to_inf,magic-internet-money_whale_transaction_count_100k_usd_to_inf,maker_whale_transaction_count_100k_usd_to_inf,marlin_whale_transaction_count_100k_usd_to_inf,melon_whale_transaction_count_100k_usd_to_inf,olympus_whale_transaction_count_100k_usd_to_inf,orbs_whale_transaction_count_100k_usd_to_inf,orion-protocol_whale_transaction_count_100k_usd_to_inf,pendle_whale_transaction_count_100k_usd_to_inf,rocket-pool_whale_transaction_count_100k_usd_to_inf,spell-token_whale_transaction_count_100k_usd_to_inf,ssv-network_whale_transaction_count_100k_usd_to_inf,sushi_whale_transaction_count_100k_usd_to_inf,tellor_whale_transaction_count_100k_usd_to_inf,uma_whale_transaction_count_100k_usd_to_inf,uniswap_whale_transaction_count_100k_usd_to_inf,yearn-finance_whale_transaction_count_100k_usd_to_inf
2023-08-08 00:00:00+00:00,0.0,5.0,16.0,0.0,,5.0,54.0,,1.0,,29.0,,5.0,56.0,4.0,2.0,26.0,8.0,27.0,11.0,4.0,12.0,,0.0,9.0,0.0,,0.0,10.0,0.0,0.0,1.0,,0.0,30.0,1.0
2023-08-09 00:00:00+00:00,3.0,0.0,36.0,1.0,7.0,4.0,99.0,,4.0,,42.0,,6.0,69.0,4.0,3.0,51.0,8.0,26.0,8.0,0.0,18.0,,,0.0,0.0,,0.0,11.0,1.0,0.0,3.0,,1.0,61.0,0.0
2023-08-10 00:00:00+00:00,3.0,1.0,29.0,0.0,0.0,4.0,37.0,1.0,1.0,,39.0,1.0,13.0,17.0,7.0,0.0,17.0,3.0,35.0,2.0,4.0,19.0,,,2.0,0.0,,0.0,13.0,0.0,3.0,1.0,,1.0,36.0,4.0
2023-08-11 00:00:00+00:00,1.0,0.0,20.0,0.0,0.0,21.0,18.0,1.0,5.0,,19.0,0.0,3.0,45.0,4.0,1.0,20.0,17.0,59.0,0.0,10.0,10.0,,,4.0,0.0,,0.0,6.0,0.0,0.0,2.0,,0.0,25.0,1.0
2023-08-12 00:00:00+00:00,1.0,4.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,,27.0,0.0,5.0,28.0,7.0,0.0,4.0,2.0,25.0,0.0,2.0,11.0,,,1.0,,,2.0,4.0,1.0,4.0,3.0,2.0,0.0,3.0,0.0
2023-08-13 00:00:00+00:00,2.0,0.0,0.0,1.0,0.0,5.0,7.0,0.0,2.0,,28.0,0.0,3.0,19.0,3.0,0.0,9.0,3.0,20.0,0.0,0.0,6.0,,,0.0,,,0.0,1.0,1.0,5.0,3.0,0.0,0.0,11.0,2.0
2023-08-14 00:00:00+00:00,1.0,5.0,19.0,0.0,,1.0,8.0,0.0,0.0,,72.0,0.0,12.0,54.0,26.0,1.0,14.0,4.0,46.0,2.0,3.0,15.0,,,1.0,,,54.0,3.0,2.0,3.0,7.0,0.0,0.0,38.0,3.0
2023-08-15 00:00:00+00:00,1.0,0.0,5.0,0.0,1.0,3.0,6.0,0.0,0.0,,115.0,,0.0,83.0,21.0,1.0,45.0,10.0,33.0,0.0,25.0,8.0,,,3.0,,,8.0,6.0,0.0,3.0,8.0,0.0,,34.0,5.0
2023-08-16 00:00:00+00:00,1.0,6.0,22.0,0.0,9.0,1.0,12.0,,1.0,,80.0,,19.0,47.0,7.0,0.0,21.0,10.0,33.0,4.0,25.0,16.0,,,0.0,1.0,1.0,0.0,6.0,0.0,5.0,1.0,0.0,,71.0,3.0
2023-08-17 00:00:00+00:00,0.0,13.0,30.0,0.0,0.0,1.0,5.0,,0.0,2.0,318.0,,5.0,96.0,37.0,1.0,46.0,5.0,120.0,1.0,5.0,24.0,2.0,,4.0,0.0,0.0,6.0,9.0,0.0,2.0,8.0,,,72.0,4.0
2023-08-18 00:00:00+00:00,18.0,3.0,19.0,,0.0,2.0,8.0,,0.0,1.0,188.0,,6.0,87.0,10.0,1.0,75.0,5.0,36.0,0.0,5.0,24.0,0.0,,2.0,0.0,1.0,5.0,6.0,1.0,5.0,10.0,,,53.0,4.0
2023-08-19 00:00:00+00:00,0.0,2.0,6.0,,0.0,0.0,1.0,,0.0,0.0,141.0,,0.0,30.0,8.0,4.0,17.0,2.0,54.0,2.0,15.0,12.0,0.0,,1.0,3.0,0.0,0.0,4.0,1.0,0.0,1.0,,,26.0,4.0
2023-08-20 00:00:00+00:00,0.0,1.0,2.0,,0.0,1.0,0.0,,0.0,0.0,38.0,,16.0,22.0,14.0,0.0,4.0,0.0,16.0,2.0,0.0,3.0,0.0,,0.0,1.0,0.0,4.0,0.0,0.0,0.0,5.0,,1.0,33.0,3.0
2023-08-21 00:00:00+00:00,1.0,0.0,19.0,1.0,1.0,0.0,2.0,,3.0,0.0,75.0,,3.0,52.0,5.0,0.0,27.0,0.0,71.0,1.0,3.0,15.0,1.0,,4.0,0.0,0.0,0.0,9.0,0.0,0.0,5.0,12.0,0.0,58.0,1.0
2023-08-22 00:00:00+00:00,2.0,2.0,24.0,0.0,0.0,0.0,7.0,,0.0,0.0,25.0,,12.0,23.0,15.0,10.0,33.0,0.0,21.0,1.0,0.0,12.0,0.0,,3.0,2.0,1.0,0.0,3.0,0.0,11.0,2.0,0.0,1.0,71.0,3.0
2023-08-23 00:00:00+00:00,2.0,7.0,11.0,1.0,4.0,0.0,0.0,,1.0,,33.0,,16.0,35.0,8.0,4.0,24.0,1.0,23.0,3.0,0.0,13.0,1.0,,2.0,0.0,0.0,2.0,7.0,0.0,0.0,5.0,0.0,1.0,78.0,3.0
2023-08-24 00:00:00+00:00,1.0,1.0,17.0,0.0,4.0,0.0,1.0,,3.0,,31.0,,19.0,42.0,28.0,0.0,24.0,0.0,32.0,0.0,0.0,16.0,0.0,,9.0,0.0,0.0,1.0,5.0,,1.0,2.0,0.0,0.0,94.0,3.0
2023-08-25 00:00:00+00:00,0.0,0.0,20.0,0.0,0.0,,4.0,,5.0,,24.0,,5.0,41.0,3.0,0.0,30.0,0.0,15.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,15.0,,2.0,1.0,0.0,0.0,44.0,9.0
2023-08-26 00:00:00+00:00,0.0,1.0,8.0,0.0,0.0,,0.0,,0.0,,40.0,,8.0,22.0,8.0,0.0,14.0,11.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,8.0,0.0,21.0,1.0
2023-08-27 00:00:00+00:00,0.0,1.0,4.0,3.0,0.0,,0.0,,0.0,,70.0,,7.0,30.0,0.0,1.0,8.0,1.0,13.0,1.0,3.0,6.0,0.0,1.0,0.0,,,0.0,5.0,,0.0,0.0,3.0,0.0,29.0,0.0
