datetime,0x_social_volume_total,1inch_social_volume_total,aave_social_volume_total,alchemix_social_volume_total,ampleforth_social_volume_total,api3_social_volume_total,bancor_social_volume_total,band-protocol_social_volume_total,coin98_social_volume_total,cow-protocol_social_volume_total,crvusd_social_volume_total,dia-data_social_volume_total,dydx_social_volume_total,frax_social_volume_total,frax-share_social_volume_total,injective-protocol_social_volume_total,lido-dao_social_volume_total,liquity_social_volume_total,liquity-usd_social_volume_total,loopring_social_volume_total,magic-internet-money_social_volume_total,maker_social_volume_total,marlin_social_volume_total,melon_social_volume_total,olympus_social_volume_total,orbs_social_volume_total,orion-protocol_social_volume_total,pendle_social_volume_total,rocket-pool_social_volume_total,spell-token_social_volume_total,ssv-network_social_volume_total,sushi_social_volume_total,tellor_social_volume_total,uma_social_volume_total,uniswap_social_volume_total,yearn-finance_social_volume_total
2023-07-30 00:00:00+00:00,1.0,4.0,24.0,16.0,1.0,0.0,4.0,9.0,1.0,7.0,13.0,15.0,9.0,33.0,10.0,9.0,5.0,3.0,2.0,22.0,9.0,46.0,3.0,3.0,1.0,3.0,1.0,4.0,13.0,11.0,0.0,12.0,1.0,13.0,55.0,1.0
2023-07-31 00:00:00+00:00,3.0,5.0,60.0,19.0,4.0,0.0,6.0,17.0,0.0,5.0,34.0,18.0,9.0,46.0,5.0,21.0,11.0,3.0,2.0,87.0,3.0,55.0,12.0,5.0,3.0,3.0,0.0,4.0,2.0,14.0,1.0,19.0,1.0,24.0,63.0,3.0
2023-08-01 00:00:00+00:00,4.0,9.0,85.0,1.0,2.0,1.0,5.0,13.0,0.0,9.0,22.0,33.0,17.0,125.0,35.0,11.0,6.0,3.0,0.0,166.0,11.0,65.0,6.0,6.0,2.0,3.0,2.0,5.0,9.0,11.0,0.0,18.0,0.0,23.0,73.0,2.0
2023-08-02 00:00:00+00:00,4.0,9.0,28.0,1.0,2.0,0.0,16.0,14.0,2.0,11.0,7.0,28.0,6.0,44.0,29.0,17.0,3.0,3.0,1.0,47.0,21.0,49.0,12.0,1.0,2.0,4.0,0.0,2.0,2.0,11.0,2.0,20.0,0.0,28.0,150.0,2.0
2023-08-03 00:00:00+00:00,2.0,7.0,42.0,6.0,6.0,0.0,9.0,11.0,5.0,7.0,13.0,16.0,8.0,27.0,7.0,19.0,7.0,0.0,0.0,48.0,10.0,54.0,5.0,5.0,1.0,4.0,0.0,3.0,7.0,17.0,0.0,26.0,0.0,26.0,82.0,2.0
2023-08-04 00:00:00+00:00,5.0,3.0,20.0,29.0,2.0,1.0,31.0,13.0,2.0,15.0,5.0,12.0,2.0,38.0,16.0,26.0,8.0,5.0,1.0,55.0,4.0,40.0,15.0,0.0,4.0,6.0,0.0,7.0,3.0,11.0,0.0,11.0,0.0,38.0,50.0,6.0
2023-08-05 00:00:00+00:00,2.0,2.0,14.0,20.0,2.0,0.0,45.0,15.0,1.0,6.0,4.0,16.0,9.0,16.0,15.0,24.0,5.0,1.0,1.0,21.0,5.0,26.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,9.0,0.0,16.0,,14.0,49.0,4.0
2023-08-06 00:00:00+00:00,0.0,4.0,5.0,17.0,0.0,29.0,80.0,12.0,0.0,13.0,8.0,30.0,4.0,10.0,15.0,19.0,3.0,0.0,0.0,20.0,4.0,36.0,4.0,3.0,1.0,1.0,2.0,1.0,3.0,7.0,0.0,13.0,1.0,13.0,49.0,1.0
2023-08-07 00:00:00+00:00,1.0,5.0,7.0,8.0,1.0,26.0,21.0,26.0,12.0,7.0,6.0,38.0,7.0,30.0,11.0,26.0,14.0,2.0,1.0,37.0,6.0,63.0,22.0,7.0,4.0,15.0,0.0,3.0,15.0,11.0,,25.0,2.0,30.0,65.0,2.0
2023-08-08 00:00:00+00:00,1.0,2.0,14.0,2.0,5.0,6.0,30.0,12.0,33.0,12.0,8.0,48.0,9.0,36.0,6.0,27.0,4.0,0.0,3.0,52.0,8.0,47.0,7.0,5.0,2.0,1.0,0.0,5.0,22.0,3.0,1.0,26.0,0.0,29.0,96.0,4.0
