datetime,0x_exchange_outflow_usd,1inch_exchange_outflow_usd,aave_exchange_outflow_usd,alchemix_exchange_outflow_usd,ampleforth_exchange_outflow_usd,api3_exchange_outflow_usd,bancor_exchange_outflow_usd,band-protocol_exchange_outflow_usd,coin98_exchange_outflow_usd,cow-protocol_exchange_outflow_usd,crvusd_exchange_outflow_usd,dia-data_exchange_outflow_usd,dydx_exchange_outflow_usd,frax_exchange_outflow_usd,frax-share_exchange_outflow_usd,injective-protocol_exchange_outflow_usd,lido-dao_exchange_outflow_usd,liquity_exchange_outflow_usd,liquity-usd_exchange_outflow_usd,loopring_exchange_outflow_usd,magic-internet-money_exchange_outflow_usd,maker_exchange_outflow_usd,marlin_exchange_outflow_usd,melon_exchange_outflow_usd,olympus_exchange_outflow_usd,orbs_exchange_outflow_usd,orion-protocol_exchange_outflow_usd,pendle_exchange_outflow_usd,rocket-pool_exchange_outflow_usd,spell-token_exchange_outflow_usd,ssv-network_exchange_outflow_usd,sushi_exchange_outflow_usd,tellor_exchange_outflow_usd,uma_exchange_outflow_usd,uniswap_exchange_outflow_usd,yearn-finance_exchange_outflow_usd
2023-07-16 00:00:00+00:00,107632.60715543412,8533525.877474107,3899562.21561914,139023.25046705417,102.658971910631,226756.4780434057,369286.9701339589,12301.406969288551,3324.548039692749,21956.336143328248,1520936.5560090134,32039.36529315004,314898.097310237,2143466.0168901645,703631.6493910112,620870.1279569983,7572408.85925498,666159.3769249556,1843717.7605519027,73271.81078021298,491005.1591658055,6185943.948062355,78752.33628479493,11431.572447046989,80104.75205758309,594.184155570485,9878.695409331503,234328.00243326253,125319.69374856402,54457.33552886744,121585.9529271482,478173.649305268,36065.1868028161,170096.52294205298,3605374.255037422,290783.3081412805
2023-07-17 00:00:00+00:00,4968665.065743547,24425317.387810934,11861944.352373702,46673.69290305039,28506.43098076587,86081.92815923755,686823.2453139541,49339.93166283609,2294.719976437743,37443.9669299929,4894079.226164194,23215.42177896233,1694692.2224202964,1497829.0812300183,1130990.1321962608,1191815.8768021695,7080521.129886462,1093041.3923162988,6428344.512976357,581379.733776878,302248.97978408536,2262031.5901397923,151292.78925567368,27223.27784506175,132038.36206239898,2427.416783131853,12926.977620694031,1311326.1527768497,669509.0179842005,245407.80261202395,206105.36021205652,3610176.1256338055,6335.300687466114,335284.1178527481,14356254.152186325,553483.813675619
2023-07-18 00:00:00+00:00,625213.760184956,17446069.89945199,13444530.37649947,33489.99355616832,124709.3922765693,217715.5727643452,165244.17096704504,16814.281733503656,3995.43740581226,6057.01211284905,824604.4287573686,66103.24781713278,974394.5492408318,1563058.8476641474,287802.48652922123,1918185.859938632,5204093.672929911,710479.8098387945,1485402.907069694,160882.81620700416,196105.53871638057,2824125.8278463176,156835.5484156381,99633.99587372424,16794.373616403267,3358.345936114191,39434.08820461612,270402.9005857907,1115501.9497258745,84194.55567954837,31532.343227245907,891590.7034884555,2832.555911544832,149372.22573893177,16064997.708029749,186889.57812698925
2023-07-19 00:00:00+00:00,419412.8690985227,4351871.1761061195,2656271.657905646,36342.57891194196,25111.258812152428,126958.86179052132,147291.61010728148,53369.96949793491,2711.94650238849,6488.738868018547,2697164.3278596187,9107.027958394729,1898138.011466582,3559075.0054156063,853382.9709735083,612540.6760623585,5820904.9619815145,691483.3759407001,926271.0214541368,183934.59728650015,7175885.275205967,6298789.903020314,96461.2283563751,1975.479321190498,72664.53334507704,1524.295625220786,5459.803930171204,349829.3805734676,10609464.00570696,148852.4554789109,226706.26493895473,609039.3770028397,14158.74866397263,146896.93362002523,5733675.531292784,198259.07036672323
2023-07-20 00:00:00+00:00,461958.8806659752,3424505.5880555995,3898310.7133338577,40911.46123258025,63894.242368080806,271409.6662377627,962383.086315154,1269576.8777379626,402.133967786021,7299.42634160823,4389835.184932915,52830.38746612393,1493975.228362091,15462834.92796095,699545.9644281287,823816.3904728354,6467524.671322506,835204.913271693,738407.1202184081,177162.25924997267,738539.0722309715,6308896.310896919,111391.84129954214,13720.908589865696,72777.54005016667,2853.361163852991,18807.437455256975,399571.8908955545,7261494.835396214,379525.0232835235,223722.4438884954,1231985.90637019,131144.1259448765,170553.23009883944,8574518.792372568,202970.70323383663
2023-07-21 00:00:00+00:00,312137.40327177173,9562353.577650312,3624735.5939979106,28102.016858667015,14788.531473175468,242020.77008126053,320189.5018319628,389481.3491539949,607.387502784113,0.0,19186390.07461877,3884.728876530591,2259213.39480525,2475652.620919447,677487.9478038684,333619.33816755883,2775340.6997393793,525931.6143258761,881032.395043925,222369.6042696395,13830558.865073023,11668957.877384748,859244.8074657198,70567.80739464735,40000.40344016289,27846.014078995773,9028.398605765136,132178.08450567684,1260055.364226148,124818.19881078492,99177.90693242916,505735.7360856344,62909.38225737771,59157.79900597688,9359956.736972826,327961.0831112249
2023-07-22 00:00:00+00:00,52754.99699138625,1625678.0148625926,2323702.134229089,64357.422994162975,11425.119931010144,118648.9375987188,117692.56781121632,12445.102938126303,7037.348524019704,208.96929546071,2332567.121667727,17030.007233359178,433450.8643641916,92150966.88211684,560012.9070978372,412688.08044738154,1067768.4198060427,125178.55127497106,992634.974674914,90078.23604390102,4625471.270895175,4980534.963280235,434543.9114970338,3862.843994634834,102204.59569056724,296.893472804837,15689.291046216384,336966.30726127507,635111.8044653488,124153.85764205724,68237.66348076235,291363.6266282932,7509.645159875286,94360.67860147003,2675705.8005992733,485556.9602152784
2023-07-23 00:00:00+00:00,235967.76240772457,799547.6269184216,654202.6148635584,21331.544875007785,1613.426434607105,269937.1416617975,177860.51404073913,39410.78466318421,66738.66465169401,11421.121326341949,1411208.6929222431,6791.739623654673,523501.4716599314,1813216.0267657563,341614.1506444697,413469.80714948144,4075471.980514719,726692.3061040429,1112485.4845774062,190789.79148278676,3434345.2387000504,2028752.3802494293,57093.14072351913,45450.58028582439,112715.04379129093,729328.0195220426,778.179194930391,174298.92855867738,714386.8573314099,30523.211677325093,147080.7672783021,117202.83122354237,1645.105203918344,72737.25371008935,4101536.516230731,31193.867488160005
2023-07-24 00:00:00+00:00,224490.25846222005,4992089.437944206,2895020.5006808285,36090.83288580431,10835.820020857976,193661.07801416487,139087.84869207785,251077.32235507423,4920.179743845218,29761.377068079422,1911133.854135319,23661.991777020037,559753.683134729,1771261.0042346478,677250.744016882,817835.4809622737,3411624.2013822612,646875.4715278875,3065171.597867444,148473.43067656862,2668777.262287087,7383465.557991903,75947.66164221945,60516.26312594014,3632.117012925976,472669.5459688904,13047.315599013284,465526.1674475141,695510.6600346967,201149.51603192685,49664.48997564336,315580.5501455578,36200.64050555162,67665.04513110389,4340186.479717546,307318.81145644025
2023-07-25 00:00:00+00:00,125907.19449117567,889113.3133888639,1540077.8933102426,101065.81225978953,16850.561281774604,70938.12871522833,58032.52555653969,117362.24638309175,9652.600244676074,846.852172597511,2270564.4240625333,97351.24622055334,411635.4909700212,1412915.1193474573,608666.7013391461,421562.6685543553,15162634.300687486,518150.09112277353,4264070.387672217,88845.76984300993,3544692.8895914853,9914731.794430245,303890.3785981982,9218.758259792903,16531.302456333502,65344.66077910406,1109.635351543969,431331.8724060248,1467836.577936605,243182.27321180655,154435.38852368304,428971.5562323854,13352.200603347452,44237.59800646799,2519535.568187385,86749.17565531106
