datetime,0x_exchange_balance,1inch_exchange_balance,aave_exchange_balance,alchemix_exchange_balance,ampleforth_exchange_balance,api3_exchange_balance,bancor_exchange_balance,band-protocol_exchange_balance,coin98_exchange_balance,cow-protocol_exchange_balance,crvusd_exchange_balance,dia-data_exchange_balance,dydx_exchange_balance,frax_exchange_balance,frax-share_exchange_balance,injective-protocol_exchange_balance,lido-dao_exchange_balance,liquity_exchange_balance,liquity-usd_exchange_balance,loopring_exchange_balance,magic-internet-money_exchange_balance,maker_exchange_balance,marlin_exchange_balance,melon_exchange_balance,olympus_exchange_balance,orbs_exchange_balance,orion-protocol_exchange_balance,pendle_exchange_balance,rocket-pool_exchange_balance,spell-token_exchange_balance,ssv-network_exchange_balance,sushi_exchange_balance,tellor_exchange_balance,uma_exchange_balance,uniswap_exchange_balance,yearn-finance_exchange_balance
2025-02-24 00:00:00+00:00,-803261.2785965647,-1718834.1266803094,-8187.741581790751,-1552.594502995912,-33428.309678547004,-234053.2068481941,-48498.741592097416,17222.918632949986,1700534.6141181877,-795927.7852704824,24.283135538047,82290.82639462182,-173151.93732590246,-43241.52720436758,-150965.54139446333,12527.77106734994,-213561.65801012752,-893989.977848345,-277291.4170797207,-1130915.017356178,-44261.06621823462,874.440896168369,-1289632.9486673018,-2742.905840208662,,-2382850.724090748,71104.49016149,-312413.9218071261,,-424460654.83046246,-2376.358925088046,-68029.01479815743,-5274.632619775531,50057.04865206232,-2519.285515196906,-41.20098197854
2025-02-25 00:00:00+00:00,-393291.97333000513,-20243.20095550542,21366.04092310856,6530.092297921308,-49625.304430702985,-19373.920419570633,-175321.71869509053,-85152.0705937673,-94810.86178462044,-23117441.94492084,-2225.857691186529,47078.05359519941,448126.2732428465,353803.6794205581,-18317.663249045698,15141.530668643703,2871384.5953998864,-153549.0834326712,486856.4837725369,5460350.256803782,-109171.08545616404,-1176.261588559421,-233414.5162443403,71.357588366925,,12500605.739783756,8089.807429310003,688171.240794088,,256991619.9515194,-2895.412292128311,2088.777910569368,-4471.446856587061,-514.099140855947,1545867.4400662724,22.336414327627
2025-02-26 00:00:00+00:00,455508.2529377253,2188970.585315646,-12442.492418332606,-2837.891945886708,16100.353978188004,96945.56799822304,200792.31603587375,-62354.91772522366,35967.34261443865,4401232.513810592,24248.007173259284,-14943.39397468767,-76972164.83101085,-31522.334405458445,161906.4571033694,-680.94774646195,-1225800.3344343312,1179162.9951105914,-317015.6173011181,240918.1423813369,-2932.104035353184,-1695.460034639897,2189259.3511410384,1852.115607589198,,3465140.08300844,727.909140569998,20996.316566536138,,243723447.9014546,-1321.522338639514,-164214.37678660298,-65.149485966764,-140436.64552208906,-882677.834740505,-5.769208378923
2025-02-27 00:00:00+00:00,168076.88015886053,359761.1272646337,7423.973283555996,1999.105857891795,-46805.698663408,-5235.601761055335,40596.427271211134,-54903.50844853799,1769.429843283109,1480992.5536165875,-8779.19572236763,-25593.128873746784,354381.5024330229,-75100.2891298631,69613.74594417798,-393.047765674444,183214.19602684016,-114708.30580538813,-114632.99542913296,-787263.1750231608,-10725.887094427626,2060.074394552317,-1728743.5546278534,-140.948115737772,,1856090.3124859864,15466.4889686,93428.00619758856,,336157699.02090234,4557.369449078788,-299982.0495144636,4917.434114826204,76577.32699779853,1894848.5068753855,-9.430679340309
2025-02-28 00:00:00+00:00,-334015.1790016602,1578180.494995931,-6656.669260540329,734.697537701386,92134.233981565,101295.7090714358,84632.2322431658,-5103.037713074761,133470.24667158822,3149348.262997354,10321.469976863684,188824.61628684643,889228.8541458403,133148.73767298672,159991.25062207965,28099.833580890336,3811672.103264153,-853078.9726197369,-846191.6908435633,2081415.658774477,-121082.13713939654,-4705.586652118723,-3578972.4695157493,-221.526394724449,,-2000780.782788386,-4399.19101852,-257293.38223594852,,203007489.9788749,12341.489373985358,358358.02449233667,-308.362343030586,334802.7839377031,-442375.1899704788,89.495138780468
2025-03-01 00:00:00+00:00,599897.375452917,-39302.93790776883,-4391.044157296123,192.865189975554,-31480.447625018,-293160.9286880458,78974.07816111192,5389.865001489599,-58543.104388002925,1000297.7294741702,1560.546071413218,1878.489835227596,-829056.2869286719,169412.69592057887,-197155.83495590137,14342.365778607682,2017122.5031872892,-64115.76511146914,16419.35150390086,-1781291.131862983,734194.495600802,68.456945254617,-1156263.9001472923,128.865335005958,,-29632699.585286543,2649.292780939986,-423409.11266811006,,-608528277.1444379,-1514.047839367635,-20116.744898806413,5339.893230211504,-178801.73274957828,181302.8978950492,9.070561266533
2025-03-02 00:00:00+00:00,629771.2502157463,1514259.447466434,-11974.345845837395,3519.065239305387,-27353.540360096995,63287.04991030843,12616.422747202108,67899.5212384776,2038572.264148374,4805936.828565622,15185.527165021773,-16745.370986160826,107072.20559764664,121938.55115705184,198190.23249255624,3745.573362425802,-176360.93742246364,-19467.968627773567,-1843038.6017478683,571524.9792691177,9312.66679023605,-1147.839536421764,2563112.4539226163,253.983398237486,,565827.9315449186,30564.97878892,69474.17127038747,,469192767.4257628,-1898.625992741735,-126289.85224796752,1514.740994488844,119685.5712412134,1008097.0320958784,19.179987049225
2025-03-03 00:00:00+00:00,-76507.4118889286,-190436.73798703123,23609.762611091064,-2653.957622396432,269164.198893192,-45603.593420735866,-312835.47373127495,-59033.65458594113,82455.73193816312,1498985.7317723627,-12842.346643906774,-50578.79376432219,124110.08996690527,-200484.7399806878,-70675.14699269888,42645.19961999482,927920.3014939084,585094.070730429,-214140.27147790356,-454955.1594290125,-6203.307707766207,-5391.09907185256,-6835578.59639276,-466.119545502011,,-3550097.651315466,5454.062123999999,408302.76639360335,,-257460225.7872104,2885.873282578451,-37777.81733822653,4072.209669980558,-76313.57726323423,-387734.678071,2.382516613324
2025-03-04 00:00:00+00:00,816724.6826261374,480940.6605088129,-66654.75373369038,-1210.938880271988,133321.417995001,419121.4900094585,-450813.35671430465,-26122.78379218069,-2129042.390990604,1611163.5274315004,-2621.774528603306,-168822.8021985512,1399511.913118588,43170.153006246575,-118749.78307808154,11813.799014031332,-1776710.1108662267,-309234.4757435358,5681.116563237109,-1738127.5923246215,-55225.56439566923,1187.711726488121,-1549308.701610061,348.735703084786,,-3713536.6267321296,727.72497345,-460622.9397015924,,-549031691.7292414,22242.10734692703,231959.4922125043,-1421.952724923146,69276.0232441712,-1160191.8194580951,5.374732797311
2025-03-05 00:00:00+00:00,-1989167.6002384827,-307468.9900844808,1953.594828803712,-2658.839557214564,9858.04868306998,-5695.987045528891,72457.4777355695,-23648.173293170057,10918.613479836176,-4411509.371465797,-2659.885680675153,115534.0245905818,-65620.50980528178,-238263.90206792508,96750.2265374598,-3590.924090820637,-1069891.9298121058,76334.1293249503,37653.343310707685,-63679.85534235724,-386247.8415271752,-2560.612449756437,879286.6190031444,51134.00207869783,,2989233.1768812775,5057.23143061,300717.1716930259,,195415158.2489102,35276.52643391823,-176537.64806080918,-13526.140842693392,46550.005234253906,-254548.50259314457,16.511068480385
